,method,comp,suff
255,ablation,0.023420214653015137,0.09710460901260376
256,ablation,0.29814791679382324,0.7075808346271515
257,ablation,0.9066361263394356,-0.00022304058074951172
258,ablation,0.07271921634674072,-0.0001367330551147461
259,ablation,0.9835840370506048,0.015438616275787354
260,ablation,3.612041473388672e-05,3.445148468017578e-05
261,ablation,0.870948389172554,-0.026157677173614502
262,ablation,0.007940471172332764,-1.1920928955078125e-07
263,ablation,0.8825104832649231,-0.00010317564010620117
264,ablation,0.992065611993894,-0.005376875400543213
265,ablation,0.16654443740844727,0.008611798286437988
266,ablation,0.1817410783842206,-0.5649333149194717
267,ablation,0.0014339685440063477,-7.873773574829102e-05
268,ablation,-0.039713919162750244,-0.03275251388549805
269,ablation,0.013478577136993408,0.0008417367935180664
270,ablation,0.0902855396270752,0.00015091896057128906
271,ablation,3.8564205169677734e-05,2.6166439056396484e-05
272,ablation,0.005893349647521973,0.007677912712097168
273,ablation,0.9449671097099781,0.010300517082214355
274,ablation,0.748342277482152,-0.20346295833587646
275,ablation,0.009044528007507324,2.1338462829589844e-05
276,ablation,0.8002383410930634,0.0011049509048461914
277,ablation,0.46400994062423706,-0.00011551380157470703
278,ablation,0.43782925605773926,-0.001001119613647461
279,ablation,0.0007075667381286621,0.02197355031967163
280,ablation,0.004080653190612793,0.0008572936058044434
281,ablation,0.004402458667755127,0.004675507545471191
282,ablation,0.0006846785545349121,0.006153404712677002
283,ablation,0.031488239765167236,-0.00018829107284545898
284,ablation,0.9597760885953903,-3.421306610107422e-05
285,ablation,0.5335889458656311,-0.0008206367492675781
286,ablation,0.3815211057662964,0.00016832351684570312
287,ablation,0.10082000528927892,-0.43807609379291534
288,ablation,0.0010147690773010254,1.0848045349121094e-05
289,ablation,0.9796082861721516,-4.6312808990478516e-05
290,ablation,0.9824737622402608,-0.011295557022094727
291,ablation,0.08909732103347778,0.001132190227508545
292,ablation,0.9860963923856616,-0.00013756752014160156
293,ablation,0.664899080991745,-0.00020682811737060547
294,ablation,0.03580695390701294,0.6733700633049011
295,ablation,0.029474616050720215,0.0004585385322570801
296,ablation,0.00017452239990234375,0.00010257959365844727
297,ablation,0.04315519332885742,0.0007727146148681641
298,ablation,0.001690208911895752,0.0007088184356689453
299,ablation,0.3534727804362774,-0.6266652941703796
0,ig,0.0005892515182495117,-0.00031894445419311523
1,ig,0.9789951555430889,-0.0006074905395507812
2,ig,0.0027233362197875977,0.0037001967430114746
3,ig,0.31118966173380613,-0.6832707524299622
4,ig,0.958563421620056,-0.038371503353118896
5,ig,0.00551682710647583,0.7018322944641113
6,ig,0.008871793746948242,5.310773849487305e-05
7,ig,0.00969630479812622,2.3484230041503906e-05
8,ig,0.06622189283370972,5.1975250244140625e-05
9,ig,0.0020795464515686035,-0.0006111860275268555
10,ig,3.647804260253906e-05,0.037644147872924805
11,ig,0.990910863969475,-0.0014384984970092773
12,ig,0.01589149236679077,-7.468461990356445e-05
13,ig,0.0005213618278503418,0.005086004734039307
14,ig,0.004070103168487549,-0.0006644725799560547
15,ig,0.03334230184555054,7.37309455871582e-05
16,ig,0.042893946170806885,1.3947486877441406e-05
17,ig,0.9876316729933023,-6.079673767089844e-06
18,ig,0.00013816356658935547,4.583597183227539e-05
19,ig,0.9803906716406345,-0.00032085180282592773
20,ig,0.0011841654777526855,0.017212212085723877
21,ig,0.38929927349090576,0.006790816783905029
22,ig,0.9921371389646083,0.9935783973196521
23,ig,0.1946616768836975,0.007600903511047363
24,ig,0.8502168357372284,0.2703571915626526
25,ig,0.0003707408905029297,-1.7881393432617188e-05
26,ig,0.0011759772896766663,-0.9718477297574282
27,ig,0.015083670616149902,-0.0005151033401489258
28,ig,0.9321555271744728,0.9871680121868849
29,ig,0.008238434791564941,-0.00021535158157348633
30,ig,0.8166449666023254,0.10737788677215576
31,ig,0.0002022385597229004,8.344650268554688e-07
32,ig,-0.0022124648094177246,0.007772564888000488
33,ig,0.0006625652313232422,0.0008994340896606445
34,ig,0.9839540868997574,0.004415392875671387
35,ig,0.000453948974609375,0.0002651214599609375
36,ig,0.003720223903656006,1.0251998901367188e-05
37,ig,0.001714944839477539,-5.1915645599365234e-05
38,ig,0.00797879695892334,-9.60230827331543e-05
39,ig,4.2319297790527344e-05,0.015752077102661133
